time,sep,sep_err,pa,pa_err,instrument
56612.0,430.8,1.5,212.43,0.17,gpi
56612.0,429.1,1.0,212.58,0.15,gpi
56614.0,430.2,1.0,212.46,0.15,gpi
56636.0,425.5,1.0,212.51,0.15,gpi
56636.0,424.4,1.0,212.85,0.15,gpi
56637.0,425.3,1.0,212.47,0.16,gpi
56969.0,356.2,1.0,213.02,0.19,gpi
57114.0,317.3,0.9,213.13,0.2,gpi
57332.0,250.5,1.5,214.14,0.34,gpi
57361.0,240.2,1.1,213.58,0.34,gpi
57378.0,234.5,1.0,213.81,0.3,gpi
57408.0,222.6,2.1,214.84,0.44,gpi
57046.0,335.5,0.9,212.88,0.2,gpi
58382.0,141.9,5.3,28.16,1.82,gpi
58440.0,164.5,1.8,28.64,0.7,gpi
56263.0,461.0,14.0,211.9,1.2,magellan
56265.0,470.0,10.0,212.0,1.2,magellan
54781.0,210.0,27.0,211.49,1.9,naco
52953.0,413.0,22.0,34.0,4.0,naco
55129.0,299.0,14.0,211.0,3.0,naco
55194.0,306.0,9.0,212.1,1.7,naco
55296.0,346.0,7.0,209.9,1.2,naco
55467.0,383.0,11.0,210.3,1.7,naco
55516.0,387.0,8.0,212.4,1.4,naco
55517.0,390.0,13.0,212.0,2.0,naco
55593.0,408.0,9.0,211.1,1.5,naco
55646.0,426.0,13.0,210.1,1.8,naco
55168.0,339.0,10.0,209.2,1.7,nici
55168.0,323.0,10.0,209.3,1.8,nici
55555.0,407.0,5.0,212.8,1.4,nici
55854.0,452.0,3.0,211.6,0.4,nici
55854.0,455.0,5.0,211.9,0.6,nici
56015.0,447.0,3.0,210.8,0.4,nici
56015.0,448.0,5.0,211.8,0.6,nici
56999.0,350.51,3.2,212.6,0.66,sphere
57147.0,332.42,1.7,212.58,0.35,sphere
57296.0,262.02,1.78,213.02,0.48,sphere
57356.0,242.05,2.51,213.3,0.74,sphere
57382.0,234.84,1.8,213.79,0.51,sphere
57407.0,227.23,1.55,213.15,0.46,sphere
57473.0,203.66,1.42,213.9,0.46,sphere
57494.0,197.49,2.36,213.88,0.83,sphere
57647.0,142.36,2.34,214.62,1.1,sphere
57675.0,134.5,2.46,215.5,1.22,sphere
57710.0,127.12,6.44,215.8,3.37,sphere
58378.0,140.46,3.12,29.71,1.67,sphere
